nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run az7n5eqw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_025622-az7n5eqw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/az7n5eqw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 139/200 - Loss: 0.0236, Val Acc: 59.24%, Head: 69.35%, Med: 18.80%, Tail: 0.00%
[rmsprop] Epoch 140/200 - Loss: 0.0207, Val Acc: 59.71%, Head: 69.21%, Med: 21.70%, Tail: 0.00%
[rmsprop] Epoch 141/200 - Loss: 0.0247, Val Acc: 58.31%, Head: 68.58%, Med: 17.25%, Tail: 0.00%
[rmsprop] Epoch 142/200 - Loss: 0.0213, Val Acc: 59.96%, Head: 68.79%, Med: 24.65%, Tail: 0.00%
[rmsprop] Epoch 143/200 - Loss: 0.0231, Val Acc: 59.08%, Head: 68.65%, Med: 20.80%, Tail: 0.00%
[rmsprop] Epoch 144/200 - Loss: 0.0195, Val Acc: 59.28%, Head: 68.53%, Med: 22.30%, Tail: 0.00%
[rmsprop] Epoch 145/200 - Loss: 0.0191, Val Acc: 60.00%, Head: 69.46%, Med: 22.15%, Tail: 0.00%
[rmsprop] Epoch 146/200 - Loss: 0.0188, Val Acc: 60.14%, Head: 68.95%, Med: 24.90%, Tail: 0.00%
[rmsprop] Epoch 147/200 - Loss: 0.0197, Val Acc: 59.83%, Head: 68.71%, Med: 24.30%, Tail: 0.00%
[rmsprop] Epoch 148/200 - Loss: 0.0194, Val Acc: 60.20%, Head: 69.04%, Med: 24.85%, Tail: 0.00%
[rmsprop] Epoch 149/200 - Loss: 0.0142, Val Acc: 60.04%, Head: 69.34%, Med: 22.85%, Tail: 0.00%
[rmsprop] Epoch 150/200 - Loss: 0.0167, Val Acc: 58.53%, Head: 67.91%, Med: 21.00%, Tail: 0.00%
[rmsprop] Epoch 151/200 - Loss: 0.0142, Val Acc: 59.59%, Head: 68.60%, Med: 23.55%, Tail: 0.00%
[rmsprop] Epoch 152/200 - Loss: 0.0137, Val Acc: 59.73%, Head: 69.01%, Med: 22.60%, Tail: 0.00%
[rmsprop] Epoch 153/200 - Loss: 0.0121, Val Acc: 60.02%, Head: 69.54%, Med: 21.95%, Tail: 0.00%
[rmsprop] Epoch 154/200 - Loss: 0.0126, Val Acc: 59.84%, Head: 68.34%, Med: 25.85%, Tail: 0.00%
[rmsprop] Epoch 155/200 - Loss: 0.0110, Val Acc: 59.46%, Head: 68.80%, Med: 22.10%, Tail: 0.00%
[rmsprop] Epoch 156/200 - Loss: 0.0084, Val Acc: 59.62%, Head: 69.36%, Med: 20.65%, Tail: 0.00%
[rmsprop] Epoch 157/200 - Loss: 0.0100, Val Acc: 60.07%, Head: 69.35%, Med: 22.95%, Tail: 0.00%
[rmsprop] Epoch 158/200 - Loss: 0.0104, Val Acc: 59.26%, Head: 68.76%, Med: 21.25%, Tail: 0.00%
[rmsprop] Epoch 159/200 - Loss: 0.0091, Val Acc: 59.22%, Head: 68.99%, Med: 20.15%, Tail: 0.00%
[rmsprop] Epoch 160/200 - Loss: 0.0099, Val Acc: 60.08%, Head: 69.91%, Med: 20.75%, Tail: 0.00%
[rmsprop] Epoch 161/200 - Loss: 0.0091, Val Acc: 60.06%, Head: 69.35%, Med: 22.90%, Tail: 0.00%
[rmsprop] Epoch 162/200 - Loss: 0.0095, Val Acc: 60.08%, Head: 69.26%, Med: 23.35%, Tail: 0.00%
[rmsprop] Epoch 163/200 - Loss: 0.0095, Val Acc: 59.08%, Head: 67.88%, Med: 23.90%, Tail: 0.00%
[rmsprop] Epoch 164/200 - Loss: 0.0068, Val Acc: 59.61%, Head: 68.80%, Med: 22.85%, Tail: 0.00%
[rmsprop] Epoch 165/200 - Loss: 0.0089, Val Acc: 60.24%, Head: 69.50%, Med: 23.20%, Tail: 0.00%
[rmsprop] Epoch 166/200 - Loss: 0.0064, Val Acc: 59.99%, Head: 69.19%, Med: 23.20%, Tail: 0.00%
[rmsprop] Epoch 167/200 - Loss: 0.0078, Val Acc: 59.37%, Head: 68.41%, Med: 23.20%, Tail: 0.00%
